date,close,volume,company
2022-01-25,99.04,13929669.0,MS
2022-01-24,98.08,19532372.0,MS
2022-01-21,98.86,22565300.0,MS
2022-01-20,99.83,20909885.0,MS
2022-01-19,95.73,19716085.0,MS
2022-01-18,94.01,21632675.0,MS
2022-01-14,98.88,16720800.0,MS
2022-01-13,102.55,6261400.0,MS
2022-01-12,103.05,10843200.0,MS
2022-01-11,105.92,7312900.0,MS
2022-01-10,104.13,8901000.0,MS
2022-01-07,104.05,6127600.0,MS
2022-01-06,103.42,9927814.0,MS
2022-01-05,101.68,10161361.0,MS
2022-01-04,104.26,7641118.0,MS
2022-01-03,100.19,8449123.0,MS
2021-12-31,98.16,5123800.0,MS
2021-12-30,98.8,3563900.0,MS
2021-12-29,98.73,6920700.0,MS
2021-12-28,99.97,4231316.0,MS
2021-12-27,100.4,4038961.0,MS
2021-12-23,99.34,4482200.0,MS
2021-12-22,98.3,4796300.0,MS
2021-12-21,97.77,8232800.0,MS
2021-12-20,95.37,10999374.0,MS
2021-12-17,97.13,20851400.0,MS
2021-12-16,100.3,7884500.0,MS
2021-12-15,99.43,6930636.0,MS
2021-12-14,98.82,11103100.0,MS
2021-12-13,97.17,10055413.0,MS
2021-12-10,98.43,10239347.0,MS
2021-12-09,100.58,7475572.0,MS
2021-12-08,101.25,8877274.0,MS
2021-12-07,102.5,10673200.0,MS
2021-12-06,99.27,8686531.0,MS
2021-12-03,98.21,9807900.0,MS
2021-12-02,98.86,10678600.0,MS
2021-12-01,95.26,11440545.0,MS
2021-11-30,94.82,18886850.0,MS
2021-11-29,97.23,11172753.0,MS
2021-11-26,97.93,11738200.0,MS
2021-11-24,101.12,7019165.0,MS
2021-11-23,101.86,8565613.0,MS
2021-11-22,99.32,10430440.0,MS
2021-11-19,96.91,9923400.0,MS
2021-11-18,97.68,6817229.0,MS
2021-11-17,97.68,9382884.0,MS
2021-11-16,100.69,6130541.0,MS
2021-11-15,100.21,5603563.0,MS
2021-11-12,99.85,7268300.0,MS
2021-11-11,98.88,6228166.0,MS
2021-11-10,97.77,9025085.0,MS
2021-11-09,99.71,8672471.0,MS
2021-11-08,100.07,6687763.0,MS
2021-11-05,99.87,8447600.0,MS
2021-11-04,99.79,14809100.0,MS
2021-11-03,102.61,8619649.0,MS
2021-11-02,104.66,7191906.0,MS
2021-11-01,104.0,5283089.0,MS
2021-10-29,102.78,8056900.0,MS
2021-10-28,102.5,6663048.0,MS
2021-10-27,101.87,7542440.0,MS
2021-10-26,103.47,7417291.0,MS
2021-10-25,101.91,3719510.0,MS
2021-10-22,101.8,6760800.0,MS
2021-10-21,100.28,5931438.0,MS
2021-10-20,100.66,7306841.0,MS
2021-10-19,101.75,6071254.0,MS
2021-10-18,101.41,8774461.0,MS
2021-10-15,102.14,11675300.0,MS
2021-10-14,101.01,14776644.0,MS
2021-10-13,98.57,9809255.0,MS
2021-10-12,97.78,7439299.0,MS
2021-10-11,97.29,6908631.0,MS
2021-10-08,100.04,5300300.0,MS
2021-10-07,98.8,6842924.0,MS
2021-10-06,99.1,6912658.0,MS
2021-10-05,99.2,8330427.0,MS
2021-10-04,97.15,8370185.0,MS
2021-10-01,99.05,7911500.0,MS
2021-09-30,97.31,12192797.0,MS
2021-09-29,99.55,11543020.0,MS
2021-09-28,102.04,12510246.0,MS
2021-09-27,105.1,8058090.0,MS
2021-09-24,102.91,5528800.0,MS
2021-09-23,103.55,6085629.0,MS
2021-09-22,100.8,8365832.0,MS
2021-09-21,98.3,8022675.0,MS
2021-09-20,98.63,15016144.0,MS
2021-09-17,101.75,17485600.0,MS
2021-09-16,102.47,5881753.0,MS
2021-09-15,103.04,6691902.0,MS
2021-09-14,101.91,7449505.0,MS
2021-09-13,104.4,6112164.0,MS
2021-09-10,103.62,5951000.0,MS
2021-09-09,103.84,5941088.0,MS
2021-09-08,103.57,5601046.0,MS
2021-09-07,104.18,6633508.0,MS
2021-09-03,104.25,7195400.0,MS
2021-09-02,104.83,5649034.0,MS
2021-09-01,104.31,5762542.0,MS
2021-08-31,104.43,6585159.0,MS
2021-08-30,104.09,6336269.0,MS
2021-08-27,105.45,5899100.0,MS
2021-08-26,103.84,6831234.0,MS
2021-08-25,104.09,5485162.0,MS
2021-08-24,103.09,5216877.0,MS
2021-08-23,102.16,5337843.0,MS
2021-08-20,100.66,6496900.0,MS
2021-08-19,99.73,10556069.0,MS
2021-08-18,101.26,7397879.0,MS
2021-08-17,102.87,6385862.0,MS
2021-08-16,103.72,5476456.0,MS
2021-08-13,103.94,8311500.0,MS
2021-08-12,104.67,6284030.0,MS
2021-08-11,103.88,8611793.0,MS
2021-08-10,102.04,8220294.0,MS
2021-08-09,100.74,8165741.0,MS
2021-08-06,99.73,9247289.0,MS
2021-08-05,97.83,5673483.0,MS
2021-08-04,96.29,7036307.0,MS
2021-08-03,96.6,7041091.0,MS
2021-08-02,96.23,8472640.0,MS
2021-07-30,95.98,8320840.0,MS
2021-07-29,96.28,8987003.0,MS
2021-07-28,96.07,9906248.0,MS
2021-07-27,96.48,8971665.0,MS
2021-07-26,96.54,10860438.0,MS
2021-07-23,94.55,12378445.0,MS
2021-07-22,95.57,8931157.0,MS
2021-07-21,95.68,13703738.0,MS
2021-07-20,92.32,11515551.0,MS
2021-07-19,89.35,14023028.0,MS
2021-07-16,91.25,12582975.0,MS
2021-07-15,92.63,11652165.0,MS
2021-07-14,92.46,12548132.0,MS
2021-07-13,93.21,11319451.0,MS
2021-07-12,92.75,11754610.0,MS
2021-07-09,90.33,7297900.0,MS
2021-07-08,87.64,8778830.0,MS
2021-07-07,90.03,6236800.0,MS
2021-07-06,90.21,6102385.0,MS
2021-07-02,92.03,4818000.0,MS
2021-07-01,92.02,6792221.0,MS
2021-06-30,91.69,9732844.0,MS
2021-06-29,90.64,15173262.0,MS
2021-06-28,87.7,5736334.0,MS
2021-06-25,88.4,11138600.0,MS
2021-06-24,87.08,7636367.0,MS
2021-06-23,85.87,7139039.0,MS
2021-06-22,85.7,9516706.0,MS
2021-06-21,85.94,10672674.0,MS
2021-06-18,84.09,21839037.0,MS
2021-06-17,87.91,11006056.0,MS
2021-06-16,91.1,10442042.0,MS
2021-06-15,90.7,7295547.0,MS
2021-06-14,90.72,10061409.0,MS
2021-06-11,92.05,6201172.0,MS
2021-06-10,91.68,6400655.0,MS
2021-06-09,92.67,7789306.0,MS
2021-06-08,92.79,6832906.0,MS
2021-06-07,93.21,6718760.0,MS
2021-06-04,93.96,6403700.0,MS
2021-06-03,93.35,6487097.0,MS
2021-06-02,92.76,6807955.0,MS
2021-06-01,92.11,8962920.0,MS
2021-05-28,90.95,9240113.0,MS
2021-05-27,90.3,18003080.0,MS
2021-05-26,89.35,6145238.0,MS
2021-05-25,88.86,10382141.0,MS
2021-05-24,89.69,7708259.0,MS
2021-05-21,88.34,9325800.0,MS
2021-05-20,86.47,7651126.0,MS
2021-05-19,86.05,9965386.0,MS
2021-05-18,86.97,6375662.0,MS
2021-05-17,88.09,7116008.0,MS
2021-05-14,87.35,7651692.0,MS
2021-05-13,84.86,8517985.0,MS
2021-05-12,83.68,12281262.0,MS
2021-05-11,84.92,10255018.0,MS
2021-05-10,86.47,9132392.0,MS
2021-05-07,87.7,9947200.0,MS
2021-05-06,86.83,11887886.0,MS
2021-05-05,84.51,6045200.0,MS
2021-05-04,82.64,8798400.0,MS
2021-05-03,82.46,5916334.0,MS
2021-04-30,82.55,9295000.0,MS
2021-04-29,83.64,9974779.0,MS
2021-04-28,82.73,7151654.0,MS
2021-04-27,81.96,6926879.0,MS
2021-04-26,81.52,7789299.0,MS
2021-04-23,80.95,12002000.0,MS
2021-04-22,78.29,9556074.0,MS
